,0
0,Arizona
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Idaho
9,Illinois
10,Iowa
11,Kentucky
12,Louisiana
13,Maine
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,North Carolina
25,North Dakota
26,Ohio
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
